epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5936,1.07478,2.5079,1.38594,0.00929,1,0.6914,0.53523,0.4666,2.53141,0.83998,0.00012,0.00012,0.00012
2,65.999,0.7125,2.28838,1.18918,0.00929,1,0.7757,0.66069,0.47256,2.51658,0.77862,0.00024713,0.00024713,0.00024713
3,95.1181,0.64057,2.04375,1.14542,0.00929,1,0.84046,0.74024,0.41703,2.47862,0.74784,0.0003604,0.0003604,0.0003604
4,123.723,0.69749,1.82791,1.18316,0.00929,1,0.85212,0.6954,0.64059,2.43221,0.96212,0.00045981,0.00045981,0.00045981
5,162.047,0.71052,1.63428,1.17684,0.00929,1,0.88112,0.71478,0.62124,2.31964,0.98359,0.00054536,0.00054536,0.00054536
6,196.898,0.66236,1.51479,1.12191,0.93226,0.38462,0.78776,0.52151,0.86598,2.23337,1.39568,0.00061705,0.00061705,0.00061705
7,231.453,0.7452,1.3509,1.1791,0.70784,0.5641,0.71574,0.48545,0.90157,2.11932,1.32487,0.00067488,0.00067488,0.00067488
8,263.258,0.76447,1.24835,1.17506,0.96064,0.69231,0.89041,0.7005,0.7765,1.82128,1.05042,0.00071885,0.00071885,0.00071885
9,292.875,0.80322,1.18324,1.2404,0.86285,0.80677,0.92611,0.74005,0.7315,1.59381,1.0012,0.00074896,0.00074896,0.00074896
10,322.365,0.7633,1.09492,1.22419,0.87348,0.84615,0.94377,0.77108,0.67976,1.42205,0.89905,0.00076521,0.00076521,0.00076521
11,351.398,0.72601,1.16747,1.27126,0.96861,0.79129,0.93693,0.79352,0.58465,1.20853,0.84241,0.0007676,0.0007676,0.0007676
12,386.063,0.65557,1.08628,1.16369,0.93463,0.79487,0.91824,0.76795,0.6441,1.26212,0.90801,0.00075613,0.00075613,0.00075613
13,415.736,0.64055,1.09748,1.14096,0.94155,0.76923,0.93921,0.75265,0.72043,1.39885,0.93946,0.0007308,0.0007308,0.0007308
14,444.528,0.74032,1.15276,1.18958,0.94155,0.76923,0.93921,0.75265,0.72043,1.39885,0.93946,0.00069161,0.00069161,0.00069161
15,472.635,0.69511,1.11145,1.22109,0.91407,0.79487,0.956,0.79273,0.61438,1.23066,0.86096,0.000614,0.000614,0.000614
16,501.438,0.64806,1.05676,1.14602,0.96856,0.78993,0.95792,0.81095,0.60662,1.11444,0.85223,0.000515,0.000515,0.000515
17,529.757,0.65127,1.02737,1.14248,0.90505,0.92308,0.97317,0.84616,0.52423,1.03598,0.80871,0.000416,0.000416,0.000416
18,558.24,0.57962,0.96078,1.1356,0.90314,0.95641,0.97406,0.85571,0.49715,0.9849,0.78769,0.000317,0.000317,0.000317
19,587.231,0.57573,0.98816,1.07385,0.90318,0.95688,0.96973,0.85815,0.48123,0.95365,0.7733,0.000218,0.000218,0.000218
20,616.362,0.6187,0.9897,1.13823,0.90147,0.93852,0.96811,0.86389,0.46694,0.92748,0.76139,0.000119,0.000119,0.000119
